Property_ID,Locality,BHK,Area_sqft,Rate_per_sqft,Price,Property_Age,RERA
PROP0453,Sector 45,3,2047,12578,25747166,13,Yes
PROP0454,Sector 56,3,1841,14596,26871236,10,Yes
PROP0455,Sector 45,2,1560,11538,17999280,10,Yes
PROP0456,Sohna Road,2,1459,20158,29410522,18,No
PROP0457,Sector 56,4,2266,15070,34148620,7,Yes
PROP0458,Sector 56,3,1700,16047,27279900,18,Yes
PROP0459,Sohna Road,4,2170,22134,48030780,11,Yes
PROP0460,Sector 45,1,1437,9961,14313957,15,Yes
PROP0461,Sector 42,4,2258,11571,26127318,5,Yes
PROP0462,Sohna Road,3,1836,20965,38491740,14,Yes
PROP0463,Sector 42,2,1768,11185,19775080,18,Yes
PROP0464,DLF Phase 2,3,2036,18461,37586596,3,Yes
PROP0465,DLF Phase 1,3,2086,17247,35977242,12,Yes
PROP0466,Sohna Road,3,1964,19232,37771648,10,Yes
PROP0467,Sector 56,3,2177,16362,35620074,13,Yes
PROP0468,Golf Course Road,3,2030,17304,35127120,16,Yes
PROP0469,Golf Course Road,3,2230,19410,43284300,14,No
PROP0470,Sector 56,2,1787,15689,28036243,20,Yes
PROP0471,Sushant Lok,5,2856,24957,71277192,16,No
PROP0472,Sector 45,5,2763,14873,41094099,15,Yes
PROP0473,DLF Phase 1,5,2555,17505,44725275,11,Yes
PROP0474,Golf Course Road,3,1927,16399,31600873,12,Yes
PROP0475,Golf Course Road,4,2562,20432,52346784,0,Yes
PROP0476,Sushant Lok,3,2128,23902,50863456,7,Yes
PROP0477,Sector 50,2,1897,13390,25400830,13,Yes
PROP0478,New Gurgaon,1,1282,21308,27316856,6,Yes
PROP0479,New Gurgaon,4,2337,20292,47422404,7,Yes
PROP0480,Sector 50,1,1106,11942,13207852,4,Yes
PROP0481,Sushant Lok,3,2177,23999,52245823,6,Yes
PROP0482,New Gurgaon,2,2049,20073,41129577,15,Yes
PROP0483,Golf Course Road,2,1903,18022,34295866,5,Yes
PROP0484,Sector 50,4,2349,16288,38260512,10,Yes
PROP0485,Sector 56,3,2079,14063,29236977,6,Yes
PROP0486,Sector 42,4,2369,12346,29247674,15,Yes
PROP0487,Sector 50,3,1948,12122,23613656,13,Yes
PROP0488,Sushant Lok,5,2603,24543,63885429,15,No
PROP0489,Sector 50,3,2073,13515,28016595,11,Yes
PROP0490,Sushant Lok,2,1532,21981,33674892,9,Yes
PROP0491,DLF Phase 1,5,2524,16113,40669212,11,Yes
PROP0492,Sector 42,3,1604,10984,17618336,10,Yes
PROP0493,Sector 42,1,1247,8986,11205542,17,No
PROP0494,Golf Course Road,4,2389,18965,45307385,19,Yes
PROP0495,Sohna Road,1,1008,18947,19098576,0,Yes
PROP0496,DLF Phase 1,3,1854,14850,27531900,2,Yes
PROP0497,Sector 50,3,2132,14370,30636840,7,Yes
PROP0498,DLF Phase 2,4,2091,19647,41081877,3,Yes
PROP0499,Sector 42,5,2958,12120,35850960,7,Yes
PROP0500,Sector 56,5,2687,17552,47162224,13,Yes
